amount,location,device,is_fraud
20127,mumbai,android,0
13362,mumbai,iphone,0
20265,kolkata,android,0
33383,chennai,web,0
88130,chennai,web,0
31541,chennai,web,0
64512,delhi,android,0
3555,mumbai,android,0
41718,delhi,android,0
99398,mumbai,web,1
6043,mumbai,android,0
61764,kolkata,android,0
72549,chennai,android,1
8106,mumbai,iphone,0
95766,delhi,web,1
77710,delhi,web,1
97034,mumbai,iphone,1
80847,delhi,web,1
40102,chennai,web,0
70664,kolkata,iphone,1
80410,chennai,android,0
86642,chennai,web,0
83313,mumbai,web,0
65748,bangalore,iphone,0
87967,chennai,android,0
91890,bangalore,web,1
97256,mumbai,web,1
34760,delhi,web,0
48342,chennai,iphone,0
5510,delhi,web,0
51543,mumbai,web,0
86042,chennai,iphone,1
51559,kolkata,android,0
65974,chennai,iphone,0
1985,kolkata,android,0
64822,chennai,android,0
78730,chennai,web,1
94183,chennai,android,1
14403,kolkata,android,0
15151,bangalore,web,0
2254,bangalore,iphone,1
55823,bangalore,android,0
98137,bangalore,android,1
64879,delhi,android,0
83736,chennai,iphone,0
11640,chennai,android,0
63610,delhi,web,0
84437,mumbai,web,1
19891,delhi,android,0
68690,kolkata,web,0
94522,kolkata,iphone,1
18408,delhi,web,0
46833,mumbai,android,0
86775,bangalore,web,1
62711,bangalore,android,1
95002,mumbai,android,1
58437,kolkata,web,0
22154,mumbai,web,0
84440,kolkata,iphone,1
64528,bangalore,web,0
43924,chennai,iphone,0
92274,chennai,iphone,0
82906,mumbai,android,1
66551,bangalore,iphone,0
19719,mumbai,android,0
1274,kolkata,web,0
92848,delhi,web,1
93543,chennai,iphone,1
45274,delhi,web,0
84671,chennai,iphone,0
95453,delhi,iphone,1
41872,chennai,android,1
19366,mumbai,iphone,0
69448,kolkata,web,0
99207,mumbai,web,0
52367,kolkata,iphone,0
12872,bangalore,web,0
23295,mumbai,iphone,0
26542,mumbai,web,0
54654,kolkata,iphone,1
51083,bangalore,web,0
20079,kolkata,web,0
88687,kolkata,iphone,1
3801,kolkata,iphone,0
92655,delhi,web,0
36455,bangalore,iphone,0
51274,delhi,web,1
92613,bangalore,iphone,1
